brand,part_number,part_name,category,sub_category,assembly_group,is_fastener,confidence,fits_models,model_count,capacity_range_kg,fuel_types,source_catalogue,cross_references
Godrej,02326191,BEARING - ROLLER,Bearings,Clear view mast,Clear view mast,0,A,"GX 150 D,GX 200 D,GX 250 D,GX 300 D",4,1500-3000,DIESEL,Godrej GX 150/200/250/300 D Forklift Trucks Spare Parts Catalogue,
Godrej,02360933,BEARING,Bearings,Tilt cylinder mounting,Tilt cylinder mounting,0,A,"GX 150 D,GX 200 D,GX 250 D,GX 300 D",4,1500-3000,DIESEL,Godrej GX 150/200/250/300 D Forklift Trucks Spare Parts Catalogue,
Godrej,54007406,BEARING - BRAKE SHAFT,Bearings,Automatic torque converter transmission,Automatic torque converter transmission,0,A,"GX 150 D,GX 200 D,GX 250 D,GX 300 D",4,1500-3000,DIESEL,Godrej GX 150/200/250/300 D Forklift Trucks Spare Parts Catalogue,
Godrej,54007451,BEARING FRONT - INPUT SHAFT,Bearings,Transmission,Transmission,0,A,"GX 150 D,GX 200 D,GX 250 D,GX 300 D",4,1500-3000,DIESEL,Godrej GX 150/200/250/300 D Forklift Trucks Spare Parts Catalogue,
Godrej,54007534,BEARING - PINION SHAFT,Bearings,Axle end assembly,Axle end assembly,0,A,"GX 150 D,GX 200 D,GX 250 D,GX 300 D",4,1500-3000,DIESEL,Godrej GX 150/200/250/300 D Forklift Trucks Spare Parts Catalogue,
Godrej,54008809,BEARING REAR - INPUT SHAFT,Bearings,Transmission,Transmission,0,A,"GX 150 D,GX 200 D,GX 250 D,GX 300 D",4,1500-3000,DIESEL,Godrej GX 150/200/250/300 D Forklift Trucks Spare Parts Catalogue,
Godrej,54098019,CUP & CONE TO REAR BEARING,Bearings,Transmission,Transmission,0,A,"GX 150 D,GX 200 D,GX 250 D,GX 300 D",4,1500-3000,DIESEL,Godrej GX 150/200/250/300 D Forklift Trucks Spare Parts Catalogue,
Godrej,54099889,CUP & CONE TO FRONT BEARING,Bearings,Transmission,Transmission,0,A,"GX 150 D,GX 200 D,GX 250 D,GX 300 D",4,1500-3000,DIESEL,Godrej GX 150/200/250/300 D Forklift Trucks Spare Parts Catalogue,
Godrej,54099946,CUP AND CONE - DIFFERENTIAL BEARING,Bearings,Axle adaptor & differential,Axle adaptor & differential,0,A,"GX 150 D,GX 200 D,GX 250 D,GX 300 D",4,1500-3000,DIESEL,Godrej GX 150/200/250/300 D Forklift Trucks Spare Parts Catalogue,
Godrej,54100343,BEARING - IDLER GEAR,Bearings,Transmission,Transmission,0,A,"GX 150 D,GX 200 D,GX 250 D,GX 300 D",4,1500-3000,DIESEL,Godrej GX 150/200/250/300 D Forklift Trucks Spare Parts Catalogue,
Godrej,54100356,BEARING,Bearings,Hi-Lo / F-R selector pack,Hi-Lo / F-R selector pack,0,A,"GX 150 D,GX 200 D,GX 250 D,GX 300 D",4,1500-3000,DIESEL,Godrej GX 150/200/250/300 D Forklift Trucks Spare Parts Catalogue,
Godrej,54101999,THRUST BEARING (T-138),Bearings,Steering axle 02375773,Steering axle 02375773,0,A,"GX 150 D,GX 200 D,GX 250 D,GX 300 D",4,1500-3000,DIESEL,Godrej GX 150/200/250/300 D Forklift Trucks Spare Parts Catalogue,ISO_BEARING T-138
Godrej,54102868,BEARING REVERSE IDLER GEAR,Bearings,Transmission,Transmission,0,A,"GX 150 D,GX 200 D,GX 250 D,GX 300 D",4,1500-3000,DIESEL,Godrej GX 150/200/250/300 D Forklift Trucks Spare Parts Catalogue,
Godrej,55300010,BEARING,Bearings,Steering axle hub,Steering axle hub,0,A,"GX 150 D,GX 200 D,GX 250 D,GX 300 D",4,1500-3000,DIESEL,Godrej GX 150/200/250/300 D Forklift Trucks Spare Parts Catalogue,
Godrej,55300011,BEARING,Bearings,Steering axle hub,Steering axle hub,0,A,"GX 150 D,GX 200 D,GX 250 D,GX 300 D",4,1500-3000,DIESEL,Godrej GX 150/200/250/300 D Forklift Trucks Spare Parts Catalogue,
Godrej,02000024,BRAKE DRUM,Brake,Axle end assembly,Axle end assembly,0,A,"GX 150 D,GX 200 D,GX 250 D,GX 300 D",4,1500-3000,DIESEL,Godrej GX 150/200/250/300 D Forklift Trucks Spare Parts Catalogue,
Godrej,02015004,BRAKE DRUM,Brake,Transmission,Transmission,0,A,"GX 150 D,GX 200 D,GX 250 D,GX 300 D",4,1500-3000,DIESEL,Godrej GX 150/200/250/300 D Forklift Trucks Spare Parts Catalogue,
